"";"GSM671653.CEL";"GSM671654.CEL";"GSM671655.CEL";"GSM671656.CEL";"GSM671657.CEL";"GSM671658.CEL";"GSM671659.CEL";"GSM671660.CEL"
"10344973";9,27567093392418;8,08623002901884;8,6346944486505;9,63266420819729;5,97836299099987;5,97619425765454;6,01977563522943;5,58097847542504
"10345791";6,18494590759782;5,95640222147051;5,81247463804967;5,87588816403544;10,1630667353454;10,0077746844305;10,32660877844;10,3179213931877
"10351443";12,6087795723617;12,4974465036445;12,4800222457919;12,3743859095209;6,3848077759169;6,85949295599912;6,72098068265039;6,87605413556949
"10351679";5,01748625078955;5,01120347084987;4,52859718802165;4,7458860370335;8,36733806456571;8,23426574234384;8,42534171946336;8,01423312407426
"10352234";11,1597214814188;10,0548443414541;10,1922886483579;10,2327208671987;7,55877387213071;7,91930370734613;7,04580994684816;7,0829977789629
"10355960";10,650721733755;10,4349436109924;10,7100964571082;11,2863404498401;7,08559444584465;7,12701654445259;7,50034751233738;7,56441774442121
"10356177";11,6935634677966;11,3633518490321;11,2211092842842;11,3205745674666;7,52516244672264;7,9551303889384;7,46759114609578;7,53155066118088
"10358457";9,08385769152169;8,10383167881442;8,2837950287878;9,42578720162999;4,93184245229841;4,7653609869073;4,75314861846476;4,61790841901882
"10358565";4,95066746232816;5,43569292786963;4,44384039053821;7,4873717402903;10,0524362087704;10,0653160075287;9,95492644639172;9,24924944310564
"10360070";6,50425416662491;7,57858357724024;6,94160533506684;6,64292859748848;10,0411893427743;9,97261471435399;10,0502050147098;10,2673111410606
"10360418";7,88698783427989;8,59811539188442;8,90631122193696;9,06175406991645;4,4905921200672;4,44376297242339;4,65454878260574;4,67019314632395
"10361023";9,85929590289837;9,41993220920189;9,40397442846286;9,83176726832053;5,89667712010625;6,74282389186921;5,15694811521;5,40243896437069
"10362363";9,68488557191061;9,2647641839037;9,06046067159468;9,52776560298871;5,34084693666323;6,27890370073871;5,10738049305463;5,62292191401684
"10362372";9,77596154001099;9,89911479768901;10,0689915443702;9,88953129081263;5,36846906437374;5,58186251092768;5,53881130813776;5,0712098144398
"10363070";5,05889909257971;5,71252406374671;5,34978396302411;6,03932249577375;9,66676156865087;9,52789394600517;9,84068694705159;9,6061964312626
"10363082";5,84454489480119;5,60220813092971;5,68320871737492;5,99605909552568;9,8831309891042;9,53773879638706;9,96347082067507;9,58513398216722
